car_model_id,car_model_name,car_model_year,car_brand_id
MOD-TO-001,Corolla Altis,2014-2018,CB-TO-001
MOD-TO-002,Hilux Revo,2015-2023,CB-TO-001
MOD-TO-003,Vios,2013-2022,CB-TO-001
MOD-TO-004,Fortuner,2015-2023,CB-TO-001
MOD-HO-001,Civic,2016-2021,CB-HO-002
MOD-HO-002,City,2014-2019,CB-HO-002
MOD-HO-003,Jazz,2014-2021,CB-HO-002
MOD-HO-004,CR-V,2017-2022,CB-HO-002
MOD-IS-001,D-Max,2012-2019,CB-IS-003
MOD-IS-002,MU-X,2013-2020,CB-IS-003
MOD-IS-003,D-Max (All New),2020-2024,CB-IS-003
MOD-IS-004,MU-X (The Next Gen),2021-2024,CB-IS-003
MOD-MI-001,Triton,2015-2023,CB-MI-004
MOD-MI-002,Pajero Sport,2015-2023,CB-MI-004
MOD-MI-003,Attrage,2013-2022,CB-MI-004
MOD-MI-004,Xpander,2018-2023,CB-MI-004
MOD-MA-001,Mazda 2,2015-2023,CB-MA-005
MOD-MA-002,Mazda 3,2014-2018,CB-MA-005
MOD-MA-003,CX-5,2017-2023,CB-MA-005
MOD-MA-004,BT-50 Pro,2012-2020,CB-MA-005
MOD-FO-001,Ranger,2012-2021,CB-FO-006
MOD-FO-002,Everest,2015-2022,CB-FO-006
MOD-FO-003,Fiesta,2010-2016,CB-FO-006
MOD-FO-004,EcoSport,2014-2018,CB-FO-006
MOD-NI-001,Navara NP300,2014-2020,CB-NI-007
MOD-NI-002,Almera,2011-2019,CB-NI-007
MOD-NI-003,March,2010-2022,CB-NI-007
MOD-NI-004,Terra,2018-2023,CB-NI-007
MOD-SU-001,Swift,2012-2017,CB-SU-008
MOD-SU-002,Ciaz,2015-2022,CB-SU-008
MOD-SU-003,Ertiga,2018-2023,CB-SU-008
MOD-SU-004,Carry,2019-2023,CB-SU-008
MOD-BM-001,3 Series (F30),2012-2019,CB-BM-009
MOD-BM-002,5 Series (G30),2017-2023,CB-BM-009
MOD-BM-003,X1 (F48),2016-2022,CB-BM-009
MOD-BM-004,X3 (G01),2017-2023,CB-BM-009
MOD-ME-001,C-Class (W205),2014-2021,CB-ME-010
MOD-ME-002,E-Class (W213),2016-2023,CB-ME-010
MOD-ME-003,GLA-Class (X156),2014-2020,CB-ME-010
MOD-ME-004,GLC-Class (X253),2015-2022,CB-ME-010
